Unnamed: 0,model,percentile,q_L_x_hist,q_O_x_hist,q_L_x_ssp245,q_O_x_ssp245,T_L_x_hist,T_O_x_hist,T_L_x_ssp245,T_O_x_ssp245
1,CESM2-WACCM,2,0.0133269280195236,0.0174554586410522,0.0154700418934226,0.0204490069299936,298.8309020996094,299.3662109375,302.0281982421875,301.8756408691406
2,CESM2-WACCM,5,0.0134973740205168,0.0176241509616374,0.0156467761844396,0.0206339489668607,299.11737060546875,299.5423278808594,302.31158447265625,302.041259765625
3,CESM2-WACCM,10,0.0137223452329635,0.0178686827421188,0.015867406502366,0.0209003388881683,299.494873046875,299.7735290527344,302.691162109375,302.26171875
4,CESM2-WACCM,15,0.0138995666056871,0.0180831141769886,0.0160233713686466,0.0211342759430408,299.8093566894531,299.9642944335937,303.01226806640625,302.4455871582031
5,CESM2-WACCM,25,0.0141045153141021,0.0184559095650911,0.016141315922141,0.0215443950146436,300.3470458984375,300.2792358398437,303.5738525390625,302.7482604980469
6,CESM2-WACCM,35,0.0141380941495299,0.0187833849340677,0.0160436350852251,0.0218984726816415,300.8445129394531,300.5461730957031,304.1087646484375,303.00213623046875
7,CESM2-WACCM,45,0.0139929829165339,0.019068144261837,0.0157495252788066,0.0221889540553092,301.3551025390625,300.7847900390625,304.6737365722656,303.2258605957031
8,CESM2-WACCM,55,0.0136640379205346,0.0193112976849079,0.0152779193595051,0.0224195513874292,301.9285888671875,301.0112609863281,305.3171081542969,303.43609619140625
9,CESM2-WACCM,65,0.0131362415850162,0.0195284429937601,0.014650247991085,0.0226119775325059,302.6214904785156,301.2395935058594,306.09716796875,303.6490783691406
10,CESM2-WACCM,75,0.0123763373121619,0.0197290480136871,0.0138511843979358,0.0227741375565528,303.527099609375,301.4885559082031,307.1115417480469,303.8846435546875
11,CESM2-WACCM,85,0.0113613391295075,0.0199100915342569,0.0127233490347862,0.0229042805731296,304.8451843261719,301.7939147949219,308.5782775878906,304.1847229003906
12,CESM2-WACCM,90,0.0107049932703375,0.0199888739734888,0.0119917932897806,0.0229556262493133,305.80767822265625,302.0019836425781,309.6361083984375,304.3973999023437
13,CESM2-WACCM,95,0.009959471412003,0.0200487859547138,0.0112121421843767,0.0229927040636539,307.22088623046875,302.326904296875,311.1365966796875,304.7445373535156
14,CESM2-WACCM,98,0.0093533564358949,0.0200198851525783,0.0105055915191769,0.0229698736220598,308.6444091796875,302.75946044921875,312.6180114746094,305.2363586425781
15,CESM2-WACCM,99,0.008959686383605,0.0199038013815879,0.010094148106873,0.0228733886033296,309.4847717285156,303.139892578125,313.4781494140625,305.6898803710937
0,CNRM-CM6-1,1,0.0113100465387105,0.0157963056117296,0.013003334403038,0.0181013457477092,297.236328125,298.2014465332031,300.3484802246094,300.28515625
1,CNRM-CM6-1,2,0.0113552380353212,0.0158457309007644,0.0130515582859516,0.0181595645844936,297.37353515625,298.25421142578125,300.48760986328125,300.3399963378906
2,CNRM-CM6-1,5,0.0114687755703926,0.0159793496131896,0.0131630776450037,0.0183165483176708,297.66973876953125,298.3861999511719,300.7880554199219,300.4804382324219
3,CNRM-CM6-1,10,0.0116063877940177,0.0161721091717481,0.0132913142442703,0.018542043864727,298.0494079589844,298.5668640136719,301.175537109375,300.67236328125
4,CNRM-CM6-1,15,0.0116949137300252,0.0163368191570043,0.0133608262985944,0.0187367293983697,298.3733825683594,298.7155456542969,301.5067443847656,300.83172607421875
5,CNRM-CM6-1,25,0.0117523083463311,0.0165838710963726,0.0133378067985177,0.0190396904945373,298.9437561035156,298.96319580078125,302.1031188964844,301.0927429199219
6,CNRM-CM6-1,35,0.0116143757477402,0.0167431067675352,0.0130951730534434,0.0192374102771282,299.4826965332031,299.1759033203125,302.68658447265625,301.3149108886719
7,CNRM-CM6-1,45,0.0112722869962453,0.0168493315577507,0.0126562444493174,0.0193695332854986,300.0529479980469,299.37811279296875,303.3155517578125,301.525146484375
8,CNRM-CM6-1,55,0.010722410865128,0.0169199518859386,0.0120251718908548,0.019460953772068,300.7069091796875,299.58563232421875,304.0409851074219,301.7389831542969
9,CNRM-CM6-1,65,0.0099511872977018,0.016962993890047,0.0112031018361449,0.0195246394723653,301.5085754394531,299.8126220703125,304.9214782714844,301.97515869140625
10,CNRM-CM6-1,75,0.0090252719819545,0.0169793684035539,0.010271712206304,0.0195640567690134,302.5447692871094,300.0832824707031,306.0412902832031,302.258056640625
11,CNRM-CM6-1,85,0.0080797392874956,0.0169577188789844,0.0093156937509775,0.0195729378610849,303.9578857421875,300.4560852050781,307.54205322265625,302.6505126953125
12,CNRM-CM6-1,90,0.0076193157583475,0.0169216282665729,0.0088407211005687,0.0195604674518108,304.89990234375,300.7393798828125,308.5352478027344,302.9491882324219
13,CNRM-CM6-1,95,0.0071500171907246,0.0168663281947374,0.0083350306376814,0.0195333156734704,306.1562194824219,301.2300109863281,309.8646545410156,303.4668273925781
14,CNRM-CM6-1,98,0.0067491424269974,0.0168733987957239,0.0078391041606664,0.0195136051625013,307.3651123046875,301.9539489746094,311.1443176269531,304.2232360839844
15,CNRM-CM6-1,99,0.0065209819003939,0.0169095806777477,0.0075122257694602,0.0194817371666431,308.1063232421875,302.6121520996094,311.9119567871094,304.8979187011719
0,CNRM-ESM2-1,1,0.0113223502412438,0.0161365196108818,0.0130988648161292,0.0184977892786264,297.9082946777344,298.4970092773437,301.0723571777344,300.6121826171875
1,CNRM-ESM2-1,2,0.0113653428852558,0.0161865409463644,0.0131436502560973,0.0185559559613466,298.0490417480469,298.5493469238281,301.2145690917969,300.6667175292969
2,CNRM-ESM2-1,5,0.0114717492833733,0.0163223929703235,0.0132503127679228,0.018713479861617,298.352783203125,298.6821594238281,301.52685546875,300.8070678710937
3,CNRM-ESM2-1,10,0.0116058997809886,0.0165180508047342,0.0133789144456386,0.0189401116222143,298.7416076660156,298.86212158203125,301.9306030273437,300.9968566894531
4,CNRM-ESM2-1,15,0.0116891684010624,0.0166854169219732,0.0134425088763237,0.0191351901739835,299.07208251953125,299.01043701171875,302.2754211425781,301.1551818847656
5,CNRM-ESM2-1,25,0.0117141939699649,0.016937181353569,0.0133852241560816,0.0194373819977045,299.6585998535156,299.25653076171875,302.89764404296875,301.4159240722656
6,CNRM-ESM2-1,35,0.0115318773314356,0.0170981958508491,0.013110720552504,0.0196367762982845,300.2191162109375,299.4678649902344,303.50848388671875,301.6383972167969
7,CNRM-ESM2-1,45,0.0111483791843056,0.0172029845416545,0.0126546863466501,0.0197714287787675,300.81414794921875,299.66851806640625,304.1637268066406,301.8493347167969
8,CNRM-ESM2-1,55,0.0105650359764695,0.0172698982059955,0.0120284873992204,0.0198644679039716,301.495361328125,299.874267578125,304.9097595214844,302.0645446777344
9,CNRM-ESM2-1,65,0.0097931949421763,0.0173074472695589,0.0112589988857507,0.0199275538325309,302.3216552734375,300.0995483398437,305.80047607421875,302.301025390625
10,CNRM-ESM2-1,75,0.0089307324960827,0.0173169635236263,0.0103929815813899,0.0199646838009357,303.3677978515625,300.3700561523437,306.91168212890625,302.5856628417969
11,CNRM-ESM2-1,85,0.0080501623451709,0.0172893796116113,0.0094513734802603,0.0199690964072942,304.7565612792969,300.7452392578125,308.3875427246094,302.9820556640625
12,CNRM-ESM2-1,90,0.0076136975549161,0.0172522384673357,0.0089559629559516,0.0199528113007545,305.6702575683594,301.0321350097656,309.3690490722656,303.2850036621094
13,CNRM-ESM2-1,95,0.0071759354323148,0.0172081682831048,0.0084231020882725,0.0199277885258197,306.8775939941406,301.5339660644531,310.6961669921875,303.81170654296875
14,CNRM-ESM2-1,98,0.0068164565600454,0.0172311775386333,0.007928897626698,0.0199343413114547,308.04425048828125,302.2865905761719,311.9819030761719,304.581298828125
15,CNRM-ESM2-1,99,0.0066186795011162,0.0172644201666116,0.0076055377721786,0.0198901388794183,308.75408935546875,302.9812927246094,312.7602233886719,305.2755432128906
