model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,grid,timeStep,start,stop,experiment,inspan
ACCESS-CM2,ps_Amon_ACCESS-CM2_historical_r5i1p1f1_gn_185001-201412.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r5i1p1f1/Amon/ps/gn/v20210607/ps_Amon_ACCESS-CM2_historical_r5i1p1f1_gn_185001-201412.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/CSIRO-ARCCSS/ACCESS-CM2/historical/r5i1p1f1/Amon/ps/gn/v20210607/ps_Amon_ACCESS-CM2_historical_r5i1p1f1_gn_185001-201412.nc,5,1,1,1,r5i1p1f1,historical,ps,gn,mon,1850,2014,SSP245,True
ACCESS-CM2,tas_day_ACCESS-CM2_ssp245_r5i1p1f1_gn_20650101-21001231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r5i1p1f1/day/tas/gn/v20210802/tas_day_ACCESS-CM2_ssp245_r5i1p1f1_gn_20650101-21001231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r5i1p1f1/day/tas/gn/v20210802/tas_day_ACCESS-CM2_ssp245_r5i1p1f1_gn_20650101-21001231.nc,5,1,1,1,r5i1p1f1,ssp245,tas,gn,day,2065,2100,SSP245,True
ACCESS-CM2,huss_day_ACCESS-CM2_ssp245_r5i1p1f1_gn_20650101-21001231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r5i1p1f1/day/huss/gn/v20210802/huss_day_ACCESS-CM2_ssp245_r5i1p1f1_gn_20650101-21001231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r5i1p1f1/day/huss/gn/v20210802/huss_day_ACCESS-CM2_ssp245_r5i1p1f1_gn_20650101-21001231.nc,5,1,1,1,r5i1p1f1,ssp245,huss,gn,day,2065,2100,SSP245,True
ACCESS-CM2,ps_Amon_ACCESS-CM2_ssp245_r5i1p1f1_gn_201501-210012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r5i1p1f1/Amon/ps/gn/v20210802/ps_Amon_ACCESS-CM2_ssp245_r5i1p1f1_gn_201501-210012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/CSIRO-ARCCSS/ACCESS-CM2/ssp245/r5i1p1f1/Amon/ps/gn/v20210802/ps_Amon_ACCESS-CM2_ssp245_r5i1p1f1_gn_201501-210012.nc,5,1,1,1,r5i1p1f1,ssp245,ps,gn,mon,2015,2100,SSP245,True
ACCESS-ESM1-5,tas_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_02010101-02501231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191115/tas_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_02010101-02501231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20191115/tas_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_02010101-02501231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,201,250,4x,True
ACCESS-ESM1-5,huss_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_02010101-02501231.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20191115/huss_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_02010101-02501231.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20191115/huss_day_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_02010101-02501231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,huss,gn,day,201,250,4x,True
ACCESS-ESM1-5,ps_Amon_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_010101-025012.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191115/ps_Amon_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_010101-025012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/CSIRO/ACCESS-ESM1-5/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20191115/ps_Amon_ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_gn_010101-025012.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,101,250,4x,True
ACCESS-ESM1-5,tas_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_10510101-11001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/tas/gn/v20210316/tas_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_10510101-11001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/tas/gn/v20210316/tas_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_10510101-11001231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,1051,1100,4x,True
ACCESS-ESM1-5,huss_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_10510101-11001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/huss/gn/v20210316/huss_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_10510101-11001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/day/huss/gn/v20210316/huss_day_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_10510101-11001231.nc,1,1,1,1,r1i1p1f1,piControl,huss,gn,day,1051,1100,4x,True
ACCESS-ESM1-5,ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_100101-110012.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20210316/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_100101-110012.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/piControl/r1i1p1f1/Amon/ps/gn/v20210316/ps_Amon_ACCESS-ESM1-5_piControl_r1i1p1f1_gn_100101-110012.nc,1,1,1,1,r1i1p1f1,piControl,ps,gn,mon,1001,1100,4x,True
ACCESS-ESM1-5,tas_day_ACCESS-ESM1-5_historical_r21i1p1f1_gn_19500101-19991231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/historical/r21i1p1f1/day/tas/gn/v20200922/tas_day_ACCESS-ESM1-5_historical_r21i1p1f1_gn_19500101-19991231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/historical/r21i1p1f1/day/tas/gn/v20200922/tas_day_ACCESS-ESM1-5_historical_r21i1p1f1_gn_19500101-19991231.nc,21,1,1,1,r21i1p1f1,historical,tas,gn,day,1950,1999,SSP245,True
ACCESS-ESM1-5,tas_day_ACCESS-ESM1-5_historical_r21i1p1f1_gn_20000101-20141231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/historical/r21i1p1f1/day/tas/gn/v20200922/tas_day_ACCESS-ESM1-5_historical_r21i1p1f1_gn_20000101-20141231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/historical/r21i1p1f1/day/tas/gn/v20200922/tas_day_ACCESS-ESM1-5_historical_r21i1p1f1_gn_20000101-20141231.nc,21,1,1,1,r21i1p1f1,historical,tas,gn,day,2000,2014,SSP245,True
ACCESS-ESM1-5,huss_day_ACCESS-ESM1-5_historical_r21i1p1f1_gn_19500101-19991231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/historical/r21i1p1f1/day/huss/gn/v20200922/huss_day_ACCESS-ESM1-5_historical_r21i1p1f1_gn_19500101-19991231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/historical/r21i1p1f1/day/huss/gn/v20200922/huss_day_ACCESS-ESM1-5_historical_r21i1p1f1_gn_19500101-19991231.nc,21,1,1,1,r21i1p1f1,historical,huss,gn,day,1950,1999,SSP245,True
ACCESS-ESM1-5,huss_day_ACCESS-ESM1-5_historical_r21i1p1f1_gn_20000101-20141231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/historical/r21i1p1f1/day/huss/gn/v20200922/huss_day_ACCESS-ESM1-5_historical_r21i1p1f1_gn_20000101-20141231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/historical/r21i1p1f1/day/huss/gn/v20200922/huss_day_ACCESS-ESM1-5_historical_r21i1p1f1_gn_20000101-20141231.nc,21,1,1,1,r21i1p1f1,historical,huss,gn,day,2000,2014,SSP245,True
ACCESS-ESM1-5,ps_Amon_ACCESS-ESM1-5_historical_r21i1p1f1_gn_185001-201412.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/historical/r21i1p1f1/Amon/ps/gn/v20200922/ps_Amon_ACCESS-ESM1-5_historical_r21i1p1f1_gn_185001-201412.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/CSIRO/ACCESS-ESM1-5/historical/r21i1p1f1/Amon/ps/gn/v20200922/ps_Amon_ACCESS-ESM1-5_historical_r21i1p1f1_gn_185001-201412.nc,21,1,1,1,r21i1p1f1,historical,ps,gn,mon,1850,2014,SSP245,True
ACCESS-ESM1-5,tas_day_ACCESS-ESM1-5_ssp245_r21i1p1f1_gn_20650101-21001231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp245/r21i1p1f1/day/tas/gn/v20200922/tas_day_ACCESS-ESM1-5_ssp245_r21i1p1f1_gn_20650101-21001231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp245/r21i1p1f1/day/tas/gn/v20200922/tas_day_ACCESS-ESM1-5_ssp245_r21i1p1f1_gn_20650101-21001231.nc,21,1,1,1,r21i1p1f1,ssp245,tas,gn,day,2065,2100,SSP245,True
ACCESS-ESM1-5,huss_day_ACCESS-ESM1-5_ssp245_r21i1p1f1_gn_20650101-21001231.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp245/r21i1p1f1/day/huss/gn/v20200922/huss_day_ACCESS-ESM1-5_ssp245_r21i1p1f1_gn_20650101-21001231.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp245/r21i1p1f1/day/huss/gn/v20200922/huss_day_ACCESS-ESM1-5_ssp245_r21i1p1f1_gn_20650101-21001231.nc,21,1,1,1,r21i1p1f1,ssp245,huss,gn,day,2065,2100,SSP245,True
ACCESS-ESM1-5,ps_Amon_ACCESS-ESM1-5_ssp245_r21i1p1f1_gn_201501-210012.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp245/r21i1p1f1/Amon/ps/gn/v20200922/ps_Amon_ACCESS-ESM1-5_ssp245_r21i1p1f1_gn_201501-210012.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/ScenarioMIP/CSIRO/ACCESS-ESM1-5/ssp245/r21i1p1f1/Amon/ps/gn/v20200922/ps_Amon_ACCESS-ESM1-5_ssp245_r21i1p1f1_gn_201501-210012.nc,21,1,1,1,r21i1p1f1,ssp245,ps,gn,mon,2015,2100,SSP245,True
CESM2,tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09700101-09791231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09700101-09791231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09700101-09791231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,970,979,4x,True
CESM2,tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09800101-09891231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09800101-09891231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09800101-09891231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,980,989,4x,True
CESM2,tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09900101-09991231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09900101-09991231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/tas/gn/v20190927/tas_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09900101-09991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,tas,gn,day,990,999,4x,True
CESM2,huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09700101-09791231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20190927/huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09700101-09791231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20190927/huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09700101-09791231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,huss,gn,day,970,979,4x,True
CESM2,huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09800101-09891231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20190927/huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09800101-09891231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20190927/huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09800101-09891231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,huss,gn,day,980,989,4x,True
CESM2,huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09900101-09991231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20190927/huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09900101-09991231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20190927/huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09900101-09991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,huss,gn,day,990,999,4x,True
CESM2,ps_Amon_CESM2_abrupt-4xCO2_r1i1p1f1_gn_095001-099912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190927/ps_Amon_CESM2_abrupt-4xCO2_r1i1p1f1_gn_095001-099912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190927/ps_Amon_CESM2_abrupt-4xCO2_r1i1p1f1_gn_095001-099912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,gn,mon,950,999,4x,True
CESM2,tas_day_CESM2_piControl_r1i1p1f1_gn_11700101-11791231.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/tas/gn/v20190320/tas_day_CESM2_piControl_r1i1p1f1_gn_11700101-11791231.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/tas/gn/v20190320/tas_day_CESM2_piControl_r1i1p1f1_gn_11700101-11791231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,1170,1179,4x,True
CESM2,tas_day_CESM2_piControl_r1i1p1f1_gn_11800101-11891231.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/tas/gn/v20190320/tas_day_CESM2_piControl_r1i1p1f1_gn_11800101-11891231.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/tas/gn/v20190320/tas_day_CESM2_piControl_r1i1p1f1_gn_11800101-11891231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,1180,1189,4x,True
CESM2,tas_day_CESM2_piControl_r1i1p1f1_gn_11900101-11991231.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/tas/gn/v20190320/tas_day_CESM2_piControl_r1i1p1f1_gn_11900101-11991231.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/tas/gn/v20190320/tas_day_CESM2_piControl_r1i1p1f1_gn_11900101-11991231.nc,1,1,1,1,r1i1p1f1,piControl,tas,gn,day,1190,1199,4x,True
