,model,percentile,alpha_O,alpha_L
161,INM-CM4-8,2,0.06402866,0.066111277629763
162,INM-CM4-8,5,0.06402866,0.0661786724161826
163,INM-CM4-8,10,0.06402866,0.0662351793992168
164,INM-CM4-8,15,0.06402866,0.0662659121693066
165,INM-CM4-8,25,0.06402866,0.0662552476421005
166,INM-CM4-8,35,0.06402866,0.0662326787418017
167,INM-CM4-8,45,0.06402866,0.0661722370946604
168,INM-CM4-8,55,0.06402866,0.0660961708210863
169,INM-CM4-8,65,0.06402866,0.0659160586633058
170,INM-CM4-8,75,0.06402866,0.0656360636110438
171,INM-CM4-8,85,0.06402866,0.064974482229377
172,INM-CM4-8,90,0.06402866,0.0645025816951158
173,INM-CM4-8,95,0.06402866,0.0638408636673941
174,INM-CM4-8,98,0.06402866,0.0632617888074917
175,INM-CM4-8,99,0.06402866,0.0629648513868028
176,INM-CM5-0,1,0.06382717,0.0658850585871516
177,INM-CM5-0,2,0.06382717,0.0658829596457634
178,INM-CM5-0,5,0.06382717,0.0659357183778017
179,INM-CM5-0,10,0.06382717,0.0659824915338136
180,INM-CM5-0,15,0.06382717,0.0660015070259001
181,INM-CM5-0,25,0.06382717,0.0660169719331755
182,INM-CM5-0,35,0.06382717,0.0660154681102129
183,INM-CM5-0,45,0.06382717,0.0659731111738261
184,INM-CM5-0,55,0.06382717,0.0658891112593044
185,INM-CM5-0,65,0.06382717,0.0657266570184127
186,INM-CM5-0,75,0.06382717,0.0654213614044488
187,INM-CM5-0,85,0.06382717,0.0647844270591876
188,INM-CM5-0,90,0.06382717,0.064354361477711
189,INM-CM5-0,95,0.06382717,0.0637094454242749
190,INM-CM5-0,98,0.06382717,0.0631653195095856
191,INM-CM5-0,99,0.06382717,0.0629308142883869
192,KACE-1-0-G,1,0.06526891,0.067213802730883
193,KACE-1-0-G,2,0.06526891,0.0671964452897177
194,KACE-1-0-G,5,0.06526891,0.067142478901143
195,KACE-1-0-G,10,0.06526891,0.0670238256032786
196,KACE-1-0-G,15,0.06526891,0.0669098847868077
197,KACE-1-0-G,25,0.06526891,0.0666975056643122
198,KACE-1-0-G,35,0.06526891,0.0665016839626992
