model,gamma,dT_O,dT_L_x,percentile
CanESM5,1.2049938364657249,2.4907837,3.0013790064692936,25
CanESM5,1.2048580143710463,2.4907837,3.0010407030097683,35
CanESM5,1.21778616502033,2.4907837,3.033241929918148,45
CanESM5,1.245028611376004,2.4907837,3.1010969712489858,55
CanESM5,1.2947101531502352,2.4907837,3.2248429456911096,65
CanESM5,1.3845632080037418,2.4907837,3.44864747011543,75
CanESM5,1.5199575251944224,2.4907837,3.785885428446607,85
CanESM5,1.5803328659794602,2.4907837,3.936267343155924,90
CanESM5,1.6364402720552969,2.4907837,4.076018755658899,95
CanESM5,1.675200240840864,2.4907837,4.172561454122499,98
CanESM5,1.6947495060111182,2.4907837,4.221254445155545,99
CESM2-WACCM,1.1762165284292,2.5204468,2.964591185186486,1
CESM2-WACCM,1.1725480309406184,2.5204468,2.955344932430583,2
CESM2-WACCM,1.1626281309299609,2.5204468,2.930342352192401,5
CESM2-WACCM,1.1504611590838505,2.5204468,2.8996761469371823,10
CESM2-WACCM,1.1411923739174334,2.5204468,2.876314667024599,15
CESM2-WACCM,1.1315313156203135,2.5204468,2.851964483555009,25
CESM2-WACCM,1.1314246470009972,2.5204468,2.851695630974793,35
CESM2-WACCM,1.141876979165264,2.5204468,2.8780401781307567,45
CESM2-WACCM,1.1633765276614096,2.5204468,2.932228646339312,55
CESM2-WACCM,1.1982154539833858,2.5204468,3.0200383067029724,65
CESM2-WACCM,1.251405931452543,2.5204468,3.1541020754305817,75
CESM2-WACCM,1.330077758402424,2.5204468,3.3523902299165638,85
CESM2-WACCM,1.3863958319160758,2.5204468,3.4943369380862115,90
CESM2-WACCM,1.4569895215194126,2.5204468,3.672264577147135,95
CESM2-WACCM,1.520500478392742,2.5204468,3.832340565163456,98
CESM2-WACCM,1.5643164758923014,2.5204468,3.9427764558500287,99
CNRM-CM6-1,1.2173021346421244,2.0804138,2.532492159678934,1
CNRM-CM6-1,1.2146986331085758,2.0804138,2.5270757991602184,2
CNRM-CM6-1,1.20768308058328,2.0804138,2.512480546871968,5
CNRM-CM6-1,1.1996661381201494,2.0804138,2.495801989137865,10
CNRM-CM6-1,1.194613981884442,2.0804138,2.485291413585343,15
CNRM-CM6-1,1.1930849791842957,2.0804138,2.4821104552677213,25
CNRM-CM6-1,1.2050435275657925,2.0804138,2.506989184348555,35
CNRM-CM6-1,1.2317423643576424,2.0804138,2.562533812854268,45
CNRM-CM6-1,1.2759422238759752,2.0804138,2.6544878105542686,55
CNRM-CM6-1,1.3417175044559675,2.0804138,2.7913276119717563,65
CNRM-CM6-1,1.4294686632097944,2.0804138,2.9738863336092085,75
CNRM-CM6-1,1.5318628122781202,2.0804138,3.1869085343702106,85
CNRM-CM6-1,1.5875859613748873,2.0804138,3.302835742730583,90
CNRM-CM6-1,1.6490558566658071,2.0804138,3.430718561178368,95
CNRM-CM6-1,1.7051310635745096,2.0804138,3.5473781954690877,98
CNRM-CM6-1,1.738980607898097,2.0804138,3.61779925460359,99
CNRM-ESM2-1,1.2348711334005291,2.1114502,2.607368901592774,1
CNRM-ESM2-1,1.232218540633071,2.1114502,2.6017680840634063,2
CNRM-ESM2-1,1.226191860879802,2.1114502,2.5890430498930304,5
CNRM-ESM2-1,1.218824161173382,2.1114502,2.57348651887437,10
CNRM-ESM2-1,1.2146049713327651,2.1114502,2.564577909641561,15
CNRM-ESM2-1,1.215712695657785,2.1114502,2.5669168143891694,25
CNRM-ESM2-1,1.2313811348331314,2.1114502,2.5999999434196424,35
CNRM-ESM2-1,1.26220750163567,2.1114502,2.665088281770136,45
CNRM-ESM2-1,1.3102892240338269,2.1114502,2.7666104441440686,55
CNRM-ESM2-1,1.3783880965821926,2.1114502,2.91039782220609,65
CNRM-ESM2-1,1.4625224301980548,2.1114502,3.088043277746169,75
CNRM-ESM2-1,1.5598690372440405,2.1114502,3.293585790662737,85
CNRM-ESM2-1,1.6131701913725365,2.1114502,3.40612852320758,90
CNRM-ESM2-1,1.670472724244297,2.1114502,3.5271199677001657,95
CNRM-ESM2-1,1.7202957016238611,2.1114502,3.6323187032528415,98
CNRM-ESM2-1,1.7488623734835216,2.1114502,3.692635808264257,99
GFDL-CM4,1.1524104478113475,1.9306335,2.2248822162945894,1
GFDL-CM4,1.1483498376323618,1.9306335,2.217042666252598,2
GFDL-CM4,1.138494353649672,1.9306335,2.198015338716904,5
GFDL-CM4,1.1263200587245827,1.9306335,2.1745112370956465,10
GFDL-CM4,1.1175009085308014,1.9306335,2.157484690290001,15
GFDL-CM4,1.106587563021274,1.9306335,2.1364150198522327,25
GFDL-CM4,1.103524616162513,1.9306335,2.130501592037989,35
GFDL-CM4,1.10958146861004,1.9306335,2.1421951542777418,45
GFDL-CM4,1.1272303196395057,1.9306335,2.1762686173117376,55
GFDL-CM4,1.1637520029704411,1.9306335,2.2467786026268333,65
GFDL-CM4,1.235659476492044,1.9306335,2.3856055799080025,75
GFDL-CM4,1.3518406244488372,1.9306335,2.609908796221844,85
GFDL-CM4,1.4138112633595128,1.9306335,2.729551387719198,90
GFDL-CM4,1.489410252715796,1.9306335,2.875505329136581,95
