model,filename,download_url,opendap_url,r,i,p,f,Varient,period,Var,timeStep,openDapWorking,start,stop,inspan
CESM2,huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09800101-09891231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20190927/huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09800101-09891231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20190927/huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09800101-09891231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,huss,day,True,980,989,True
CESM2,huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09900101-09991231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20190927/huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09900101-09991231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/huss/gn/v20190927/huss_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09900101-09991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,huss,day,True,990,999,True
CESM2,hurs_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09700101-09791231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/hurs/gn/v20190927/hurs_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09700101-09791231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/hurs/gn/v20190927/hurs_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09700101-09791231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,hurs,day,True,970,979,True
CESM2,hurs_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09800101-09891231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/hurs/gn/v20190927/hurs_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09800101-09891231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/hurs/gn/v20190927/hurs_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09800101-09891231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,hurs,day,True,980,989,True
CESM2,hurs_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09900101-09991231.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/hurs/gn/v20190927/hurs_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09900101-09991231.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/day/hurs/gn/v20190927/hurs_day_CESM2_abrupt-4xCO2_r1i1p1f1_gn_09900101-09991231.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,hurs,day,True,990,999,True
CESM2,ps_AERmon_CESM2_abrupt-4xCO2_r1i1p1f1_gn_095001-099912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/AERmon/ps/gn/v20190927/ps_AERmon_CESM2_abrupt-4xCO2_r1i1p1f1_gn_095001-099912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/AERmon/ps/gn/v20190927/ps_AERmon_CESM2_abrupt-4xCO2_r1i1p1f1_gn_095001-099912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,mon,True,950,999,True
CESM2,ps_Emon_CESM2_abrupt-4xCO2_r1i1p1f1_gn_095001-099912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190927/ps_Emon_CESM2_abrupt-4xCO2_r1i1p1f1_gn_095001-099912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/Emon/ps/gn/v20190927/ps_Emon_CESM2_abrupt-4xCO2_r1i1p1f1_gn_095001-099912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,mon,True,950,999,True
CESM2,ps_Amon_CESM2_abrupt-4xCO2_r1i1p1f1_gn_095001-099912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190927/ps_Amon_CESM2_abrupt-4xCO2_r1i1p1f1_gn_095001-099912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCAR/CESM2/abrupt-4xCO2/r1i1p1f1/Amon/ps/gn/v20190927/ps_Amon_CESM2_abrupt-4xCO2_r1i1p1f1_gn_095001-099912.nc,1,1,1,1,r1i1p1f1,abrupt-4xCO2,ps,mon,True,950,999,True
CESM2,hurs_day_CESM2_piControl_r1i1p1f1_gn_11700101-11791231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/hurs/gn/v20190320/hurs_day_CESM2_piControl_r1i1p1f1_gn_11700101-11791231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/hurs/gn/v20190320/hurs_day_CESM2_piControl_r1i1p1f1_gn_11700101-11791231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True,1170,1179,True
CESM2,hurs_day_CESM2_piControl_r1i1p1f1_gn_11800101-11891231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/hurs/gn/v20190320/hurs_day_CESM2_piControl_r1i1p1f1_gn_11800101-11891231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/hurs/gn/v20190320/hurs_day_CESM2_piControl_r1i1p1f1_gn_11800101-11891231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True,1180,1189,True
CESM2,hurs_day_CESM2_piControl_r1i1p1f1_gn_11900101-11991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/hurs/gn/v20190320/hurs_day_CESM2_piControl_r1i1p1f1_gn_11900101-11991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/hurs/gn/v20190320/hurs_day_CESM2_piControl_r1i1p1f1_gn_11900101-11991231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True,1190,1199,True
CESM2,hurs_day_CESM2_piControl_r1i1p1f1_gn_12000101-12001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/hurs/gn/v20190320/hurs_day_CESM2_piControl_r1i1p1f1_gn_12000101-12001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/hurs/gn/v20190320/hurs_day_CESM2_piControl_r1i1p1f1_gn_12000101-12001231.nc,1,1,1,1,r1i1p1f1,piControl,hurs,day,True,1200,1200,True
CESM2,huss_day_CESM2_piControl_r1i1p1f1_gn_11700101-11791231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/huss/gn/v20190320/huss_day_CESM2_piControl_r1i1p1f1_gn_11700101-11791231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/huss/gn/v20190320/huss_day_CESM2_piControl_r1i1p1f1_gn_11700101-11791231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True,1170,1179,True
CESM2,huss_day_CESM2_piControl_r1i1p1f1_gn_11800101-11891231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/huss/gn/v20190320/huss_day_CESM2_piControl_r1i1p1f1_gn_11800101-11891231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/huss/gn/v20190320/huss_day_CESM2_piControl_r1i1p1f1_gn_11800101-11891231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True,1180,1189,True
CESM2,huss_day_CESM2_piControl_r1i1p1f1_gn_11900101-11991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/huss/gn/v20190320/huss_day_CESM2_piControl_r1i1p1f1_gn_11900101-11991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/huss/gn/v20190320/huss_day_CESM2_piControl_r1i1p1f1_gn_11900101-11991231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True,1190,1199,True
CESM2,huss_day_CESM2_piControl_r1i1p1f1_gn_12000101-12001231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/huss/gn/v20190320/huss_day_CESM2_piControl_r1i1p1f1_gn_12000101-12001231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/huss/gn/v20190320/huss_day_CESM2_piControl_r1i1p1f1_gn_12000101-12001231.nc,1,1,1,1,r1i1p1f1,piControl,huss,day,True,1200,1200,True
CESM2,tas_day_CESM2_piControl_r1i1p1f1_gn_11700101-11791231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/tas/gn/v20190320/tas_day_CESM2_piControl_r1i1p1f1_gn_11700101-11791231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/tas/gn/v20190320/tas_day_CESM2_piControl_r1i1p1f1_gn_11700101-11791231.nc,1,1,1,1,r1i1p1f1,piControl,tas,day,True,1170,1179,True
CESM2,tas_day_CESM2_piControl_r1i1p1f1_gn_11800101-11891231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/tas/gn/v20190320/tas_day_CESM2_piControl_r1i1p1f1_gn_11800101-11891231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/tas/gn/v20190320/tas_day_CESM2_piControl_r1i1p1f1_gn_11800101-11891231.nc,1,1,1,1,r1i1p1f1,piControl,tas,day,True,1180,1189,True
CESM2,tas_day_CESM2_piControl_r1i1p1f1_gn_11900101-11991231.nc,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/tas/gn/v20190320/tas_day_CESM2_piControl_r1i1p1f1_gn_11900101-11991231.nc,https://esgf.ceda.ac.uk/thredds/dodsC/esg_cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/day/tas/gn/v20190320/tas_day_CESM2_piControl_r1i1p1f1_gn_11900101-11991231.nc,1,1,1,1,r1i1p1f1,piControl,tas,day,True,1190,1199,True
